,comment
1245,这太棒了！so great！thanks！不过，我也只明白了一点点，但对于我来说已经够了！althrough，I just get a little。
1246,what is 3blue1brown or why the name 3blue1brown?
1247,I would be interested in math if it were practically taught like this. Instead of grinding endless seemingly useless formulas
1248,There are 1500 fools that disliked this video ... Greate job ! thank you
1249,"I took a lot of video, MOOC's.. on the topic but thees ones are olympic level compared to  local village sport school . many thanks,  it blowed my mind away"
1250,The way you’ve taken efforts so that we can understand in the most easy way possible is really admirable. Thank you
1251,"14:33 instead of weights matrix, isn't it going to be a weights vector? becuase you are talking about only the first layer, each input feature associated with a weight so it should be [w0,0 w0, 1 .............. w0, n] to get W^T*X + b."
1252,Best videos ever to explain how deep learning works.
1253,"I can't wait for neural networking to be able to recognize my doctor's prescription.
In schools everyone taught us to practice maths but this man teaches us to imagine maths"
1254,Wow........
1255,"really amazing video that makes things very understandable for me 

I just have a question at 14:38 

you add bias vector to the weighted sum but I guess in activation vector you added the (a super0 sub0) which equal = 1 I guess which is the bias unit , so is it right to add the bias vector here ? 
thank you !"
1256,"Anybody else sometimes feel the need to clap at the end of the video?
THE TEACHING ASIDE , THOSE GRAPHICS MAN! TAKES  LOT OF EFFORT!"
1257,I also have a bias for inactivity
1258,"I took a class in Neural Nets during my MSc in Computer Science twenty years ago. Damned if I understood the basic mechanics and math anywhere near as good as I have from this video! Explanation of the Sigmoid ""squishification"" (nice :) function was one of my favourite points"
1259,"At 10:05 you say that adding the negative weights around to detect edges will increase the weighted sum, but surely as the activation value is between 0 and 1, it will decrease the weighted sum and thus affect which neurons are affected in the next layer?"
1260,You's a god maahn
1261,wow ...very help me on my project
1262,subscirbed!!
1263,"this is how math should be taught. not the garbage that we get in schools.. quite sad. 
I'm glad the internet and this guy exist at the same time."
1264,And I still didn't understood anything
1265,"Great video, finally kind of understood the concept!"
1266,"Anybody else sometimes feel the need to clap at the end of the video?
this is the least confusing neural network video i've watched, but i still don't understand."
1267,He is so amazing. Rightly dividing this complex topic with so much dexterity
1268,"you, sir, are a godsend. thank you for this"
1269,Destiny 2 warmind gives me power
1270,Sooo making neurons for a fullscreen game would have 2073600 neurons? 1 pixel = 1 neuron
1271,"8:50 Here's where I lost the track and got confused
When your brain is smarter than you
Squishification is now added to my vocabulary."
1272,14:26 wait. Isn't the correct vector (-1 3)^T ?
1273,I think this is a best one..... Thanks to the creator 😀😀😀
1274,https://www.youtube.com/watch?v=9eFiJ9zLCbY&feature=youtu.be&fbclid=IwAR3-oijBAdlHvAcJ0OXqtMOVJXPZ3Y_FyxFnB8lgAVPYGAWdjZ24AywkpAM
1275,"Anybody else sometimes feel the need to clap at the end of the video?
""It works but u don't know why""


Well I will leave it to that
Squishification is now added to my vocabulary."
1276,Let me just go to university to understand this video...
1277,"Hottest Vid i’ve ever seen
Thx👍"
1278,"I just want to throw this out here after reading so many comments and getting a heart attack for each and every one of them: Artificial Neural Networks work NOTHING like a Brain!!! Real Neurons aren't Binary, that idea has been outdated for a while now, and they're far more complex than a simple threshold function and Synapses!! Real Neurons, in fact, function so sporadically that some scientists believe that they might actually be a little conscious on a cellular level! While I wouldn't make such a bold claim, it goes to show how complex they are and how much about them we don't know. In fact, Quantum Mechanics has to be involved to explain Brain Function at times!

Lastly, an Artificial Neural Network gains its power from a network of Neurons. Real Brains have Neurons who's individual activity can already process a full function in its entirety"
1279,"Me and my billion layered neuron brain:
Website: are you a robot?
In schools everyone taught us to practice maths but this man teaches us to imagine maths"
1280,"Bio teacher: what is a neuron?
Me: a thing that holds a number between 0 and 1
Me and my billion layered neuron brain:
Website: are you a robot?"
1281,"Me and my billion layered neuron brain:
Website: *_are you a robot?_*"
1282,"I would like to open an institution based on practical approach 90% and theorotical 10%, Ex:- making an iPhone in 4 years, now teach starting from scratch.

After 4 years, 100% job is ready for you."
1283,One of the most beautiful channels I've ever seen in my whole life ... Thank you for your effort and your great sense about the science.
1284,thanks you.
